Reference_Year,LGA,WRRG,landFill,recyclingTotal,recyclingProcessed,gardenTotal,gardenProcessed,wasteTotal,wasteProcessed,Estimated_Adult_Population
2002-2003,Wyndham,Metropolitan ,19789.6992,7104.7998,7104.7998,0,0,26894.499,7104.7998,
2002-2003,Yarra,Metropolitan ,13230,7099,6799,212,212,20541,7011,
2002-2003,Yarra Ranges,Metropolitan ,22890,10130,8401,1391,1391,34411,9792,
2002-2003,Yarriambiack,Grampians Central West ,1654.3,0,0,0,0,1654.3,0,
2003-2004,Alpine,North East ,2124,710,710,0,0,2834,710,
2003-2004,Ararat,Grampians Central West ,4877,431.46,422.41,0,0,5308.46,422.41,
2003-2004,Ballarat,Grampians Central West ,16854,5289,4503,1020,1020,23163,5523,
2003-2004,Banyule,Metropolitan ,19482,10502,9868,4885,4885,34869,14753,
2003-2004,Bass Coast,Gippsland ,5528,2492,2251.4199,0,0,8020,2251.4199,
2003-2004,Baw Baw,Gippsland ,5779,2396,2094,705,705,8880,2799,
2003-2004,Bayside,Metropolitan ,21901,8943,8584.2305,6954,6954,37798,15538.2305,
2003-2004,Benalla,North East ,3347,839.14,839.14,0,0,4186.14,839.14,
2003-2004,Boroondara,Metropolitan ,39872,17847,17304,11937,11937,69656,29241,
2003-2004,Brimbank,Metropolitan ,42078,9884.4004,9884.4004,487.5,487.7,52449.9004,10372.1004,
2003-2004,Buloke,Loddon Mallee ,3358,581.4,581.4,0,0,3939.4,581.4,
2003-2004,Campaspe,Goulburn Valley ,12187,1298,1298,0,0,13485,1298,
2003-2004,Cardinia,Metropolitan ,11936.4404,4242.4702,3606.1001,47,47,16225.9106,3653.1001,
2003-2004,Casey,Metropolitan ,36497,18942,17047.8008,8125,8125,63564,25172.8008,
2003-2004,Central Goldfields,Grampians Central West ,2520,641.18,579.18,70,70,3231.18,649.18,
2003-2004,Colac-Otway,Barwon South West ,3412,954,954,3040,3040,7406,3994,
2003-2004,Corangamite,Barwon South West ,2459.23,1704.14,656.4,760.3,629.44,4923.67,1285.84,
2003-2004,Darebin,Metropolitan ,25499,12872,11189,4562,4562,42933,15751,
2003-2004,East Gippsland,Gippsland ,8784.79,3427.3899,2786.51,0,0,12212.1799,2786.51,
2003-2004,Frankston,Metropolitan ,19249.7305,13374,10954,6383,6383,39006.7305,17337,
2003-2004,Gannawarra,Loddon Mallee ,2450,704.27,704.27,0,0,3154.27,704.27,
2003-2004,Glen Eira,Metropolitan ,39001,11372,11372,2326,2326,52699,13698,
2003-2004,Glenelg,Barwon South West ,2652,750,625.2,0,0,3402,625.2,
2003-2004,Golden Plains,Grampians Central West ,3089.2,761.85,713.85,0,0,3851.05,713.85,
2003-2004,Greater Bendigo,Loddon Mallee ,25087,5660,5150,0,0,30747,5150,
2003-2004,Greater Dandenong,Metropolitan ,27353,11534.9297,8535.8496,8327,4643,47214.9297,13178.8496,
2003-2004,Greater Geelong,Barwon South West ,32146.9102,23001.4805,21161.3809,25171.5898,25171.5898,80319.9805,46332.9707,
2003-2004,Greater Shepparton,Goulburn Valley ,17349,5401,3802,0,0,22750,3802,
2003-2004,Hepburn,Grampians Central West ,1300,1273.9,1219.8,0,0,2573.9,1219.8,
2003-2004,Hindmarsh,Grampians Central West ,1700,280,280,0,0,1980,280,
2003-2004,Hobsons Bay,Metropolitan ,17503.2207,7560.8101,7074.8101,2976,2976,28040.0308,10050.8101,
2003-2004,Horsham,Grampians Central West ,5040,835,806,0,0,5875,806,
2003-2004,Hume,Metropolitan ,35050,13600,10880,1710,1710,50360,12590,
2003-2004,Indigo,North East ,2915,810.9,780.6,0,0,3725.9,780.6,
2003-2004,Kingston,Metropolitan ,27091,14153.4004,13627,11336.6,11094.5,52581.0004,24721.5,
2003-2004,Knox,Metropolitan ,29080,13360,12657,13140,13140,55580,25797,
2003-2004,Latrobe,Gippsland ,30098.3809,2965.3999,2721.1001,607.95,607.95,33671.7308,3329.0501,
2003-2004,Loddon,Loddon Mallee ,1700,0,0,0,0,1700,0,
2003-2004,Macedon Ranges,Loddon Mallee ,6978,3989.7,3590.7,0,0,10967.7,3590.7,
2003-2004,Manningham,Metropolitan ,22967,11128.9004,9837.9004,11731,11731,45826.9004,21568.9004,
2003-2004,Mansfield,North East ,2050,1130.4399,1130.4399,0,0,3180.4399,1130.4399,
2003-2004,Maribyrnong,Metropolitan ,17075.1992,5938,5433,524,524,23537.1992,5957,
2003-2004,Maroondah,Metropolitan ,19944,10610.6504,9980.0801,11078.9,11078.9,41633.5504,21058.9801,
2003-2004,Melbourne,Metropolitan ,17740,4404.3701,4323.8999,22.4,22.4,22166.7701,4346.2999,
2003-2004,Melton,Metropolitan ,13477.29,6579,5850,0,0,20056.29,5850,
2003-2004,Mildura,Loddon Mallee ,12498,2616,2616,0,0,15114,2616,
2003-2004,Mitchell,Goulburn Valley ,5227.7998,2062,2062,0,0,7289.7998,2062,
2003-2004,Moira,Goulburn Valley ,4921.9502,1702.28,1548.71,0,0,6624.2302,1548.71,
2003-2004,Monash,Metropolitan ,34038.9102,15203.2002,14982.2002,17797.6602,17797.6602,67039.7706,32779.8604,
2003-2004,Moonee Valley,Metropolitan ,34565,6308.2002,5683.7002,560,560,41433.2002,6243.7002,
2003-2004,Moorabool,Grampians Central West ,4014.9399,1256.59,1208.8199,0,0,5271.5299,1208.8199,
2003-2004,Moreland,Metropolitan ,28387,13611,11937,5326,5326,47324,17263,
2003-2004,Mornington Peninsula,Metropolitan ,32824,14339.5098,14339.5098,534,534,47697.5098,14873.5098,
2003-2004,Mount Alexander,Loddon Mallee ,7064.75,1353.1899,1347.9399,0,0,8417.9399,1347.9399,
2003-2004,Moyne,Barwon South West ,1932,717.45,207.01,1500,0,4149.45,207.01,
2003-2004,Murrindindi,Goulburn Valley ,3242,483,483,0,0,3725,483,
2003-2004,Nillumbik,Metropolitan ,3645,5948,5948,6289.1499,1442.22,15882.1499,7390.22,
2003-2004,Northern Grampians,Grampians Central West ,2810.73,826.69,826.69,0,0,3637.42,826.69,
2003-2004,Port Phillip,Metropolitan ,18740,9269,8853,130,130,28139,8983,
2003-2004,Pyrenees,Grampians Central West ,780,240,240,0,0,1020,240,
